SN,SG,k
"[12, 130]","[[35, 23]]",2
"[130, 116]","[[35, 23]]",2
"[116, 3]","[[35, 23]]",2
"[20, 120, 21]","[[35, 23]]",3
"[120, 21, 129]","[[35, 23]]",3
"[21, 129, 4]","[[35, 23]]",3
"[129, 4, 12]","[[35, 23]]",3
"[4, 12, 130]","[[35, 23]]",3
"[12, 130, 116]","[[35, 23]]",3
"[130, 116, 3]","[[35, 23]]",3
"[116, 3, 0]","[[35, 23]]",3
"[3, 0, 1]","[[35, 23]]",3
"[116, 20, 120, 21]","[[35, 23]]",4
"[20, 120, 21, 129]","[[35, 23]]",4
"[120, 21, 129, 4]","[[35, 23]]",4
"[21, 129, 4, 12]","[[35, 23]]",4
"[129, 4, 12, 130]","[[35, 23]]",4
"[4, 12, 130, 116]","[[35, 23]]",4
"[12, 130, 116, 3]","[[35, 23]]",4
"[130, 116, 3, 0]","[[35, 23]]",4
"[116, 3, 0, 1]","[[35, 23]]",4
"[3, 0, 1, 116]","[[35, 23]]",4
"[116, 20, 120, 21, 129]","[[35, 23]]",5
"[20, 120, 21, 129, 4]","[[35, 23]]",5
"[120, 21, 129, 4, 12]","[[35, 23]]",5
"[21, 129, 4, 12, 130]","[[35, 23]]",5
"[129, 4, 12, 130, 116]","[[35, 23]]",5
"[4, 12, 130, 116, 3]","[[35, 23]]",5
"[12, 130, 116, 3, 0]","[[35, 23]]",5
"[130, 116, 3, 0, 1]","[[35, 23]]",5
"[116, 3, 0, 1, 116]","[[35, 23]]",5
"[116, 20, 120, 21, 129, 4]","[[35, 23]]",6
"[20, 120, 21, 129, 4, 12]","[[35, 23]]",6
"[120, 21, 129, 4, 12, 130]","[[35, 23]]",6
"[21, 129, 4, 12, 130, 116]","[[35, 23]]",6
"[129, 4, 12, 130, 116, 3]","[[35, 23]]",6
"[4, 12, 130, 116, 3, 0]","[[35, 23]]",6
"[12, 130, 116, 3, 0, 1]","[[35, 23]]",6
"[130, 116, 3, 0, 1, 116]","[[35, 23]]",6
"[116, 20, 120, 21, 129, 4, 12]","[[35, 23]]",7
"[20, 120, 21, 129, 4, 12, 130]","[[35, 23]]",7
"[120, 21, 129, 4, 12, 130, 116]","[[35, 23]]",7
"[21, 129, 4, 12, 130, 116, 3]","[[35, 23]]",7
"[129, 4, 12, 130, 116, 3, 0]","[[35, 23]]",7
"[4, 12, 130, 116, 3, 0, 1]","[[35, 23]]",7
"[12, 130, 116, 3, 0, 1, 116]","[[35, 23]]",7
"[116, 20, 120, 21, 129, 4, 12, 130]","[[35, 23]]",8
"[20, 120, 21, 129, 4, 12, 130, 116]","[[35, 23]]",8
"[120, 21, 129, 4, 12, 130, 116, 3]","[[35, 23]]",8
"[21, 129, 4, 12, 130, 116, 3, 0]","[[35, 23]]",8
"[129, 4, 12, 130, 116, 3, 0, 1]","[[35, 23]]",8
"[4, 12, 130, 116, 3, 0, 1, 116]","[[35, 23]]",8
"[116, 20, 120, 21, 129, 4, 12, 130, 116]","[[35, 23]]",9
"[20, 120, 21, 129, 4, 12, 130, 116, 3]","[[35, 23]]",9
"[120, 21, 129, 4, 12, 130, 116, 3, 0]","[[35, 23]]",9
"[21, 129, 4, 12, 130, 116, 3, 0, 1]","[[35, 23]]",9
"[129, 4, 12, 130, 116, 3, 0, 1, 116]","[[35, 23]]",9
"[116, 20, 120, 21, 129, 4, 12, 130, 116, 3]","[[35, 23]]",10
"[20, 120, 21, 129, 4, 12, 130, 116, 3, 0]","[[35, 23]]",10
"[120, 21, 129, 4, 12, 130, 116, 3, 0, 1]","[[35, 23]]",10
"[21, 129, 4, 12, 130, 116, 3, 0, 1, 116]","[[35, 23]]",10
"[116, 20, 120, 21, 129, 4, 12, 130, 116, 3, 0]","[[35, 23]]",11
"[20, 120, 21, 129, 4, 12, 130, 116, 3, 0, 1]","[[35, 23]]",11
"[120, 21, 129, 4, 12, 130, 116, 3, 0, 1, 116]","[[35, 23]]",11
"[116, 20, 120, 21, 129, 4, 12, 130, 116, 3, 0, 1]","[[35, 23]]",12
"[20, 120, 21, 129, 4, 12, 130, 116, 3, 0, 1, 116]","[[35, 23]]",12
"[116, 20, 120, 21, 129, 4, 12, 130, 116, 3, 0, 1, 116]","[[35, 23]]",13
"[121, 122]","[[35, 24]]",2
"[122, 6]","[[35, 24]]",2
"[6, 21]","[[35, 24], [36, 69], [38, 30], [38, 31], [38, 32], [52, 86], [52, 90], [104, 113], [174, 21], [174, 51], [174, 63]]",2
"[21, 78]","[[35, 24], [38, 21], [38, 30], [38, 36], [38, 69], [44, 67], [52, 87], [74, 16], [104, 81], [174, 8], [174, 25], [174, 52]]",2
"[78, 21]","[[35, 24], [38, 5], [38, 17], [38, 21], [38, 23], [38, 36], [38, 69], [44, 67], [52, 87], [104, 81], [174, 45]]",2
"[21, 4]","[[35, 24], [36, 48], [38, 28], [38, 35], [38, 36], [38, 62], [52, 57], [104, 112], [174, 6], [174, 39], [174, 62], [174, 63]]",2
"[116, 121, 122]","[[35, 24]]",3
"[121, 122, 6]","[[35, 24]]",3
"[122, 6, 21]","[[35, 24]]",3
"[6, 21, 78]","[[35, 24]]",3
"[21, 78, 21]","[[35, 24], [38, 21], [38, 36], [38, 69], [44, 67], [52, 87], [104, 81]]",3
"[78, 21, 4]","[[35, 24], [38, 36]]",3
"[21, 4, 0]","[[35, 24], [174, 62]]",3
"[4, 0, 1]","[[35, 24]]",3
"[116, 121, 122, 6]","[[35, 24]]",4
"[121, 122, 6, 21]","[[35, 24]]",4
"[122, 6, 21, 78]","[[35, 24]]",4
"[6, 21, 78, 21]","[[35, 24]]",4
"[21, 78, 21, 4]","[[35, 24], [38, 36]]",4
"[78, 21, 4, 0]","[[35, 24]]",4
"[21, 4, 0, 1]","[[35, 24]]",4
"[4, 0, 1, 116]","[[35, 24]]",4
"[116, 121, 122, 6, 21]","[[35, 24]]",5
"[121, 122, 6, 21, 78]","[[35, 24]]",5
"[122, 6, 21, 78, 21]","[[35, 24]]",5
"[6, 21, 78, 21, 4]","[[35, 24]]",5
"[21, 78, 21, 4, 0]","[[35, 24]]",5
"[78, 21, 4, 0, 1]","[[35, 24]]",5
"[21, 4, 0, 1, 116]","[[35, 24]]",5
"[116, 121, 122, 6, 21, 78]","[[35, 24]]",6
"[121, 122, 6, 21, 78, 21]","[[35, 24]]",6
"[122, 6, 21, 78, 21, 4]","[[35, 24]]",6
"[6, 21, 78, 21, 4, 0]","[[35, 24]]",6
"[21, 78, 21, 4, 0, 1]","[[35, 24]]",6
"[78, 21, 4, 0, 1, 116]","[[35, 24]]",6
"[116, 121, 122, 6, 21, 78, 21]","[[35, 24]]",7
"[121, 122, 6, 21, 78, 21, 4]","[[35, 24]]",7
"[122, 6, 21, 78, 21, 4, 0]","[[35, 24]]",7
"[6, 21, 78, 21, 4, 0, 1]","[[35, 24]]",7
"[21, 78, 21, 4, 0, 1, 116]","[[35, 24]]",7
"[116, 121, 122, 6, 21, 78, 21, 4]","[[35, 24]]",8
"[121, 122, 6, 21, 78, 21, 4, 0]","[[35, 24]]",8
"[122, 6, 21, 78, 21, 4, 0, 1]","[[35, 24]]",8
"[6, 21, 78, 21, 4, 0, 1, 116]","[[35, 24]]",8
"[116, 121, 122, 6, 21, 78, 21, 4, 0]","[[35, 24]]",9
"[121, 122, 6, 21, 78, 21, 4, 0, 1]","[[35, 24]]",9
"[122, 6, 21, 78, 21, 4, 0, 1, 116]","[[35, 24]]",9
"[116, 121, 122, 6, 21, 78, 21, 4, 0, 1]","[[35, 24]]",10
"[121, 122, 6, 21, 78, 21, 4, 0, 1, 116]","[[35, 24]]",10
"[116, 121, 122, 6, 21, 78, 21, 4, 0, 1, 116]","[[35, 24]]",11
"[116, 123]","[[35, 25]]",2
"[123, 115]","[[35, 25]]",2
"[115, 28]","[[35, 25], [52, 61]]",2
"[40, 6]","[[35, 25], [35, 30], [35, 63], [35, 71]]",2
"[6, 83]","[[35, 25], [35, 30], [35, 63], [35, 69], [35, 71], [52, 36], [67, 47], [74, 37], [74, 68]]",2
"[116, 123, 115]","[[35, 25]]",3
"[123, 115, 28]","[[35, 25]]",3
"[115, 28, 0]","[[35, 25]]",3
"[28, 0, 40]","[[35, 25]]",3
"[0, 40, 6]","[[35, 25]]",3
"[40, 6, 83]","[[35, 25], [35, 30], [35, 63], [35, 71]]",3
"[116, 123, 115, 28]","[[35, 25]]",4
"[123, 115, 28, 0]","[[35, 25]]",4
"[115, 28, 0, 40]","[[35, 25]]",4
"[28, 0, 40, 6]","[[35, 25]]",4
"[0, 40, 6, 83]","[[35, 25]]",4
"[116, 123, 115, 28, 0]","[[35, 25]]",5
"[123, 115, 28, 0, 40]","[[35, 25]]",5
"[115, 28, 0, 40, 6]","[[35, 25]]",5
"[28, 0, 40, 6, 83]","[[35, 25]]",5
"[116, 123, 115, 28, 0, 40]","[[35, 25]]",6
"[123, 115, 28, 0, 40, 6]","[[35, 25]]",6
"[115, 28, 0, 40, 6, 83]","[[35, 25]]",6
"[116, 123, 115, 28, 0, 40, 6]","[[35, 25]]",7
"[123, 115, 28, 0, 40, 6, 83]","[[35, 25]]",7
"[116, 123, 115, 28, 0, 40, 6, 83]","[[35, 25]]",8
"[115, 7]","[[35, 26]]",2
"[7, 116]","[[35, 26]]",2
"[0, 115, 7]","[[35, 26]]",3
"[115, 7, 116]","[[35, 26]]",3
"[0, 115, 7, 116]","[[35, 26]]",4
"[115, 83, 0]","[[35, 27], [35, 29], [35, 34], [35, 36], [35, 44], [35, 45], [35, 49], [35, 62], [35, 64], [35, 71]]",3
"[116, 115, 83, 0]","[[35, 27], [35, 29], [35, 44], [35, 62]]",4
"[115, 83, 0, 115]","[[35, 27], [35, 29], [35, 34], [35, 36], [35, 44], [35, 45], [35, 49], [35, 62], [35, 64], [35, 71]]",4
"[116, 115, 83, 0, 115]","[[35, 27], [35, 29], [35, 44], [35, 62]]",5
"[115, 83, 0, 115, 0]","[[35, 27], [35, 29], [35, 34], [35, 36], [35, 44], [35, 45], [35, 49], [35, 62], [35, 64], [35, 71]]",5
"[116, 115, 83, 0, 115, 0]","[[35, 27], [35, 29], [35, 44], [35, 62]]",6
"[115, 83, 0, 115, 0, 117]","[[35, 27], [35, 45], [35, 49]]",6
"[116, 115, 83, 0, 115, 0, 117]","[[35, 27]]",7
"[116, 115, 40]","[[35, 28], [35, 30], [35, 43], [35, 52], [35, 70], [35, 71]]",3
"[40, 83, 0]","[[35, 28], [35, 33], [35, 35], [35, 37], [35, 48], [35, 50], [35, 52], [35, 58], [35, 67], [35, 74], [74, 33]]",3
"[116, 115, 40, 83]","[[35, 28], [35, 52]]",4
"[115, 40, 83, 0]","[[35, 28], [35, 35], [35, 37], [35, 50], [35, 52]]",4
"[40, 83, 0, 115]","[[35, 28], [35, 35], [35, 37], [35, 50], [35, 52], [35, 58]]",4
"[116, 115, 40, 83, 0]","[[35, 28], [35, 52]]",5
"[115, 40, 83, 0, 115]","[[35, 28], [35, 35], [35, 37], [35, 50], [35, 52]]",5
"[40, 83, 0, 115, 0]","[[35, 28], [35, 35], [35, 52], [35, 58]]",5
"[116, 115, 40, 83, 0, 115]","[[35, 28], [35, 52]]",6
"[115, 40, 83, 0, 115, 0]","[[35, 28], [35, 35], [35, 52]]",6
"[40, 83, 0, 115, 0, 116]","[[35, 28]]",6
"[116, 115, 40, 83, 0, 115, 0]","[[35, 28], [35, 52]]",7
"[115, 40, 83, 0, 115, 0, 116]","[[35, 28]]",7
"[116, 115, 40, 83, 0, 115, 0, 116]","[[35, 28]]",8
"[115, 83, 0, 115, 0, 116]","[[35, 29], [35, 34]]",6
"[116, 115, 83, 0, 115, 0, 116]","[[35, 29]]",7
"[115, 40, 6]","[[35, 30], [35, 63], [35, 71]]",3
"[6, 83, 0]","[[35, 30], [35, 63], [35, 69], [67, 47], [74, 37], [74, 68]]",3
"[116, 115, 40, 6]","[[35, 30], [35, 71]]",4
"[115, 40, 6, 83]","[[35, 30], [35, 63], [35, 71]]",4
"[40, 6, 83, 0]","[[35, 30], [35, 63]]",4
"[6, 83, 0, 115]","[[35, 30], [35, 63], [35, 69]]",4
"[116, 115, 40, 6, 83]","[[35, 30], [35, 71]]",5
"[115, 40, 6, 83, 0]","[[35, 30], [35, 63]]",5
"[40, 6, 83, 0, 115]","[[35, 30], [35, 63]]",5
"[6, 83, 0, 115, 0]","[[35, 30], [35, 63], [35, 69]]",5
"[83, 0, 115, 0, 1]","[[35, 30], [35, 35], [35, 42], [35, 44], [35, 51], [35, 62]]",5
"[116, 115, 40, 6, 83, 0]","[[35, 30]]",6
"[115, 40, 6, 83, 0, 115]","[[35, 30], [35, 63]]",6
"[40, 6, 83, 0, 115, 0]","[[35, 30], [35, 63]]",6
"[6, 83, 0, 115, 0, 1]","[[35, 30]]",6
"[116, 115, 40, 6, 83, 0, 115]","[[35, 30]]",7
"[115, 40, 6, 83, 0, 115, 0]","[[35, 30], [35, 63]]",7
"[40, 6, 83, 0, 115, 0, 1]","[[35, 30]]",7
"[116, 115, 40, 6, 83, 0, 115, 0]","[[35, 30]]",8
"[115, 40, 6, 83, 0, 115, 0, 1]","[[35, 30]]",8
"[116, 115, 40, 6, 83, 0, 115, 0, 1]","[[35, 30]]",9
"[7, 120]","[[35, 31]]",2
"[120, 131]","[[35, 31]]",2
"[131, 21]","[[35, 31]]",2
"[21, 0]","[[35, 31], [38, 31], [38, 45], [44, 4], [52, 88], [52, 90], [52, 104], [104, 81], [174, 51]]",2
"[116, 7, 120]","[[35, 31]]",3
"[7, 120, 131]","[[35, 31]]",3
"[120, 131, 21]","[[35, 31]]",3
"[131, 21, 0]","[[35, 31]]",3
"[21, 0, 1]","[[35, 31]]",3
"[116, 7, 120, 131]","[[35, 31]]",4
"[7, 120, 131, 21]","[[35, 31]]",4
"[120, 131, 21, 0]","[[35, 31]]",4
"[131, 21, 0, 1]","[[35, 31]]",4
"[116, 7, 120, 131, 21]","[[35, 31]]",5
"[7, 120, 131, 21, 0]","[[35, 31]]",5
"[120, 131, 21, 0, 1]","[[35, 31]]",5
"[116, 7, 120, 131, 21, 0]","[[35, 31]]",6
"[7, 120, 131, 21, 0, 1]","[[35, 31]]",6
"[116, 7, 120, 131, 21, 0, 1]","[[35, 31]]",7
"[122, 1]","[[35, 32]]",2
"[8, 116]","[[35, 32]]",2
"[116, 122, 1]","[[35, 32]]",3
"[122, 1, 116]","[[35, 32]]",3
"[1, 116, 1]","[[35, 32]]",3
"[116, 1, 0]","[[35, 32], [35, 54]]",3
"[1, 0, 8]","[[35, 32]]",3
"[0, 8, 116]","[[35, 32]]",3
"[116, 122, 1, 116]","[[35, 32]]",4
"[122, 1, 116, 1]","[[35, 32]]",4
"[1, 116, 1, 0]","[[35, 32]]",4
"[116, 1, 0, 8]","[[35, 32]]",4
"[1, 0, 8, 116]","[[35, 32]]",4
"[116, 122, 1, 116, 1]","[[35, 32]]",5
"[122, 1, 116, 1, 0]","[[35, 32]]",5
"[1, 116, 1, 0, 8]","[[35, 32]]",5
"[116, 1, 0, 8, 116]","[[35, 32]]",5
"[116, 122, 1, 116, 1, 0]","[[35, 32]]",6
"[122, 1, 116, 1, 0, 8]","[[35, 32]]",6
"[1, 116, 1, 0, 8, 116]","[[35, 32]]",6
"[116, 122, 1, 116, 1, 0, 8]","[[35, 32]]",7
"[122, 1, 116, 1, 0, 8, 116]","[[35, 32]]",7
"[116, 122, 1, 116, 1, 0, 8, 116]","[[35, 32]]",8
"[116, 115, 0, 40]","[[35, 33], [35, 40]]",4
"[0, 40, 83, 0]","[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]",4
"[116, 115, 0, 40, 83]","[[35, 33], [35, 40]]",5
"[115, 0, 40, 83, 0]","[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]",5
"[116, 115, 0, 40, 83, 0]","[[35, 33]]",6
"[3, 116, 20]","[[35, 34]]",3
"[20, 115, 83]","[[35, 34], [35, 36]]",3
"[0, 3, 116, 20]","[[35, 34]]",4
"[3, 116, 20, 115]","[[35, 34]]",4
"[116, 20, 115, 83]","[[35, 34], [35, 36]]",4
"[20, 115, 83, 0]","[[35, 34], [35, 36]]",4
"[115, 0, 3, 116, 20]","[[35, 34]]",5
"[0, 3, 116, 20, 115]","[[35, 34]]",5
"[3, 116, 20, 115, 83]","[[35, 34]]",5
"[116, 20, 115, 83, 0]","[[35, 34], [35, 36]]",5
"[20, 115, 83, 0, 115]","[[35, 34], [35, 36]]",5
"[0, 115, 0, 3, 116, 20]","[[35, 34]]",6
"[115, 0, 3, 116, 20, 115]","[[35, 34]]",6
"[0, 3, 116, 20, 115, 83]","[[35, 34]]",6
"[3, 116, 20, 115, 83, 0]","[[35, 34]]",6
"[116, 20, 115, 83, 0, 115]","[[35, 34], [35, 36]]",6
"[20, 115, 83, 0, 115, 0]","[[35, 34], [35, 36]]",6
"[0, 115, 0, 3, 116, 20, 115]","[[35, 34]]",7
"[115, 0, 3, 116, 20, 115, 83]","[[35, 34]]",7
"[0, 3, 116, 20, 115, 83, 0]","[[35, 34]]",7
"[3, 116, 20, 115, 83, 0, 115]","[[35, 34]]",7
"[116, 20, 115, 83, 0, 115, 0]","[[35, 34], [35, 36]]",7
"[20, 115, 83, 0, 115, 0, 116]","[[35, 34]]",7
"[0, 115, 0, 3, 116, 20, 115, 83]","[[35, 34]]",8
"[115, 0, 3, 116, 20, 115, 83, 0]","[[35, 34]]",8
"[0, 3, 116, 20, 115, 83, 0, 115]","[[35, 34]]",8
"[3, 116, 20, 115, 83, 0, 115, 0]","[[35, 34]]",8
"[116, 20, 115, 83, 0, 115, 0, 116]","[[35, 34]]",8
"[0, 115, 0, 3, 116, 20, 115, 83, 0]","[[35, 34]]",9
"[115, 0, 3, 116, 20, 115, 83, 0, 115]","[[35, 34]]",9
"[0, 3, 116, 20, 115, 83, 0, 115, 0]","[[35, 34]]",9
"[3, 116, 20, 115, 83, 0, 115, 0, 116]","[[35, 34]]",9
"[0, 115, 0, 3, 116, 20, 115, 83, 0, 115]","[[35, 34]]",10
"[115, 0, 3, 116, 20, 115, 83, 0, 115, 0]","[[35, 34]]",10
"[0, 3, 116, 20, 115, 83, 0, 115, 0, 116]","[[35, 34]]",10
"[0, 115, 0, 3, 116, 20, 115, 83, 0, 115, 0]","[[35, 34]]",11
"[115, 0, 3, 116, 20, 115, 83, 0, 115, 0, 116]","[[35, 34]]",11
"[0, 115, 0, 3, 116, 20, 115, 83, 0, 115, 0, 116]","[[35, 34]]",12
"[7, 115, 40]","[[35, 35], [35, 57]]",3
"[116, 7, 115, 40]","[[35, 35], [35, 57]]",4
"[7, 115, 40, 83]","[[35, 35]]",4
"[116, 7, 115, 40, 83]","[[35, 35]]",5
"[7, 115, 40, 83, 0]","[[35, 35]]",5
"[116, 7, 115, 40, 83, 0]","[[35, 35]]",6
"[7, 115, 40, 83, 0, 115]","[[35, 35]]",6
"[40, 83, 0, 115, 0, 1]","[[35, 35]]",6
"[116, 7, 115, 40, 83, 0, 115]","[[35, 35]]",7
"[7, 115, 40, 83, 0, 115, 0]","[[35, 35]]",7
"[115, 40, 83, 0, 115, 0, 1]","[[35, 35]]",7
"[116, 7, 115, 40, 83, 0, 115, 0]","[[35, 35]]",8
"[7, 115, 40, 83, 0, 115, 0, 1]","[[35, 35]]",8
"[116, 7, 115, 40, 83, 0, 115, 0, 1]","[[35, 35]]",9
"[115, 83, 0, 115, 0, 12]","[[35, 36]]",6
"[20, 115, 83, 0, 115, 0, 12]","[[35, 36]]",7
"[116, 20, 115, 83, 0, 115, 0, 12]","[[35, 36]]",8
"[115, 117]","[[35, 37]]",2
"[117, 115, 40]","[[35, 37], [35, 63]]",3
"[0, 115, 117]","[[35, 37]]",3
"[116, 117, 115, 40]","[[35, 37], [35, 63]]",4
"[117, 115, 40, 83]","[[35, 37]]",4
"[83, 0, 115, 117]","[[35, 37]]",4
"[116, 117, 115, 40, 83]","[[35, 37]]",5
"[117, 115, 40, 83, 0]","[[35, 37]]",5
"[40, 83, 0, 115, 117]","[[35, 37]]",5
"[116, 117, 115, 40, 83, 0]","[[35, 37]]",6
"[117, 115, 40, 83, 0, 115]","[[35, 37]]",6
"[115, 40, 83, 0, 115, 117]","[[35, 37]]",6
"[116, 117, 115, 40, 83, 0, 115]","[[35, 37]]",7
"[117, 115, 40, 83, 0, 115, 117]","[[35, 37]]",7
"[116, 117, 115, 40, 83, 0, 115, 117]","[[35, 37]]",8
"[127, 115, 0, 1]","[[35, 38]]",4
"[116, 127, 115, 0, 1]","[[35, 38]]",5
"[127, 115, 0, 1, 116]","[[35, 38]]",5
"[116, 127, 115, 0, 1, 116]","[[35, 38]]",6
"[116, 46]","[[35, 39]]",2
"[46, 0]","[[35, 39]]",2
"[22, 116]","[[35, 39]]",2
"[122, 116, 46]","[[35, 39]]",3
"[116, 46, 0]","[[35, 39]]",3
"[46, 0, 22]","[[35, 39]]",3
"[0, 22, 116]","[[35, 39]]",3
"[116, 122, 116, 46]","[[35, 39]]",4
"[122, 116, 46, 0]","[[35, 39]]",4
"[116, 46, 0, 22]","[[35, 39]]",4
"[46, 0, 22, 116]","[[35, 39]]",4
"[116, 122, 116, 46, 0]","[[35, 39]]",5
"[122, 116, 46, 0, 22]","[[35, 39]]",5
"[116, 46, 0, 22, 116]","[[35, 39]]",5
"[116, 122, 116, 46, 0, 22]","[[35, 39]]",6
"[122, 116, 46, 0, 22, 116]","[[35, 39]]",6
"[116, 122, 116, 46, 0, 22, 116]","[[35, 39]]",7
"[5, 83, 0, 115, 0, 1]","[[35, 42]]",6
"[83, 0, 115, 0, 1, 116]","[[35, 42]]",6
"[115, 5, 83, 0, 115, 0, 1]","[[35, 42]]",7
"[5, 83, 0, 115, 0, 1, 116]","[[35, 42]]",7
"[116, 115, 5, 83, 0, 115, 0, 1]","[[35, 42]]",8
"[115, 5, 83, 0, 115, 0, 1, 116]","[[35, 42]]",8
"[116, 115, 5, 83, 0, 115, 0, 1, 116]","[[35, 42]]",9
"[83, 4]","[[35, 43], [35, 71], [52, 93], [67, 5], [67, 56], [104, 16], [147, 81], [174, 25], [174, 45], [174, 51]]",2
"[115, 40, 0]","[[35, 43], [35, 65]]",3
"[40, 0, 83]","[[35, 43], [35, 60], [35, 65]]",3
"[0, 83, 4]","[[35, 43], [67, 5], [67, 56]]",3
"[83, 4, 0]","[[35, 43], [35, 71]]",3
"[4, 0, 115]","[[35, 43], [35, 71]]",3
"[115, 0, 7]","[[35, 43]]",3
"[116, 115, 40, 0]","[[35, 43]]",4
"[115, 40, 0, 83]","[[35, 43], [35, 65]]",4
"[40, 0, 83, 4]","[[35, 43]]",4
"[0, 83, 4, 0]","[[35, 43]]",4
"[83, 4, 0, 115]","[[35, 43], [35, 71]]",4
"[4, 0, 115, 0]","[[35, 43]]",4
"[0, 115, 0, 7]","[[35, 43]]",4
"[116, 115, 40, 0, 83]","[[35, 43]]",5
"[115, 40, 0, 83, 4]","[[35, 43]]",5
"[40, 0, 83, 4, 0]","[[35, 43]]",5
"[0, 83, 4, 0, 115]","[[35, 43]]",5
"[83, 4, 0, 115, 0]","[[35, 43]]",5
"[4, 0, 115, 0, 7]","[[35, 43]]",5
"[116, 115, 40, 0, 83, 4]","[[35, 43]]",6
"[115, 40, 0, 83, 4, 0]","[[35, 43]]",6
"[40, 0, 83, 4, 0, 115]","[[35, 43]]",6
"[0, 83, 4, 0, 115, 0]","[[35, 43]]",6
"[83, 4, 0, 115, 0, 7]","[[35, 43]]",6
"[116, 115, 40, 0, 83, 4, 0]","[[35, 43]]",7
"[115, 40, 0, 83, 4, 0, 115]","[[35, 43]]",7
"[40, 0, 83, 4, 0, 115, 0]","[[35, 43]]",7
"[0, 83, 4, 0, 115, 0, 7]","[[35, 43]]",7
"[116, 115, 40, 0, 83, 4, 0, 115]","[[35, 43]]",8
"[115, 40, 0, 83, 4, 0, 115, 0]","[[35, 43]]",8
"[40, 0, 83, 4, 0, 115, 0, 7]","[[35, 43]]",8
"[116, 115, 40, 0, 83, 4, 0, 115, 0]","[[35, 43]]",9
"[115, 40, 0, 83, 4, 0, 115, 0, 7]","[[35, 43]]",9
"[116, 115, 40, 0, 83, 4, 0, 115, 0, 7]","[[35, 43]]",10
"[115, 83, 0, 115, 0, 1]","[[35, 44], [35, 62]]",6
"[116, 115, 83, 0, 115, 0, 1]","[[35, 44], [35, 62]]",7
"[40, 115]","[[35, 45]]",2
"[12, 115, 40]","[[35, 45]]",3
"[115, 40, 115]","[[35, 45]]",3
"[40, 115, 83]","[[35, 45]]",3
"[116, 12, 115, 40]","[[35, 45]]",4
"[12, 115, 40, 115]","[[35, 45]]",4
"[115, 40, 115, 83]","[[35, 45]]",4
"[40, 115, 83, 0]","[[35, 45]]",4
"[115, 0, 117, 116]","[[35, 45], [35, 52]]",4
"[116, 12, 115, 40, 115]","[[35, 45]]",5
"[12, 115, 40, 115, 83]","[[35, 45]]",5
"[115, 40, 115, 83, 0]","[[35, 45]]",5
"[40, 115, 83, 0, 115]","[[35, 45]]",5
"[0, 115, 0, 117, 116]","[[35, 45], [35, 52]]",5
"[116, 12, 115, 40, 115, 83]","[[35, 45]]",6
"[12, 115, 40, 115, 83, 0]","[[35, 45]]",6
"[115, 40, 115, 83, 0, 115]","[[35, 45]]",6
"[40, 115, 83, 0, 115, 0]","[[35, 45]]",6
"[83, 0, 115, 0, 117, 116]","[[35, 45], [35, 52]]",6
"[116, 12, 115, 40, 115, 83, 0]","[[35, 45]]",7
"[12, 115, 40, 115, 83, 0, 115]","[[35, 45]]",7
"[115, 40, 115, 83, 0, 115, 0]","[[35, 45]]",7
"[40, 115, 83, 0, 115, 0, 117]","[[35, 45]]",7
"[115, 83, 0, 115, 0, 117, 116]","[[35, 45]]",7
"[116, 12, 115, 40, 115, 83, 0, 115]","[[35, 45]]",8
"[12, 115, 40, 115, 83, 0, 115, 0]","[[35, 45]]",8
"[115, 40, 115, 83, 0, 115, 0, 117]","[[35, 45]]",8
"[40, 115, 83, 0, 115, 0, 117, 116]","[[35, 45]]",8
"[116, 12, 115, 40, 115, 83, 0, 115, 0]","[[35, 45]]",9
"[12, 115, 40, 115, 83, 0, 115, 0, 117]","[[35, 45]]",9
"[115, 40, 115, 83, 0, 115, 0, 117, 116]","[[35, 45]]",9
"[116, 12, 115, 40, 115, 83, 0, 115, 0, 117]","[[35, 45]]",10
"[12, 115, 40, 115, 83, 0, 115, 0, 117, 116]","[[35, 45]]",10
"[116, 12, 115, 40, 115, 83, 0, 115, 0, 117, 116]","[[35, 45]]",11
"[127, 120]","[[35, 46]]",2
"[120, 0]","[[35, 46], [35, 59]]",2
"[115, 116]","[[35, 46]]",2
"[116, 127, 120]","[[35, 46]]",3
"[127, 120, 0]","[[35, 46]]",3
"[120, 0, 115]","[[35, 46]]",3
"[0, 115, 116]","[[35, 46]]",3
"[116, 127, 120, 0]","[[35, 46]]",4
"[127, 120, 0, 115]","[[35, 46]]",4
"[120, 0, 115, 116]","[[35, 46]]",4
"[116, 127, 120, 0, 115]","[[35, 46]]",5
"[127, 120, 0, 115, 116]","[[35, 46]]",5
"[116, 127, 120, 0, 115, 116]","[[35, 46]]",6
"[116, 0, 116]","[[35, 47], [35, 66]]",3
"[122, 116, 0, 116]","[[35, 47]]",4
"[116, 122, 116, 0, 116]","[[35, 47]]",5
"[1, 115, 0]","[[35, 48], [35, 55], [35, 58]]",3
"[116, 1, 115, 0]","[[35, 48], [35, 55], [35, 58]]",4
"[1, 115, 0, 40]","[[35, 48], [35, 58]]",4
"[116, 1, 115, 0, 40]","[[35, 48], [35, 58]]",5
"[1, 115, 0, 40, 83]","[[35, 48], [35, 58]]",5
"[116, 1, 115, 0, 40, 83]","[[35, 48], [35, 58]]",6
